model,triad_id,arm,p_target,p_competitor,p_decoy,p_target_cond_tc,tc_price_premium_pct,tc_rating_adv,dt_price_premium_pct,td_rating_adv
GPT-4.1 Mini,0,baseline,1,0,0,1,0.1284946236559138,30,NA,NA
GPT-4.1 Mini,0,treatment,1,0,0,1,0.1284946236559138,30,0.1667460695569319,6
GPT-4.1 Mini,1,baseline,1,0,0,1,0.12507817385866157,12,NA,NA
GPT-4.1 Mini,2,baseline,1,0,0,1,0.2309468822170901,18,NA,NA
GPT-4.1 Mini,2,treatment,1,0,0,1,0.2309468822170901,18,0.5003126954346465,3
GPT-4.1 Mini,3,baseline,1,0,0,1,0.25502713054580284,9,NA,NA
GPT-4.1 Mini,3,treatment,1,0,0,1,0.25502713054580284,9,0.06408952187182103,7
GPT-4.1 Mini,4,baseline,1,0,0,1,0.21428571428571427,11,NA,NA
GPT-4.1 Mini,4,treatment,1,0,0,1,0.21428571428571427,11,0.23835294117647063,5
GPT-4.1 Mini,5,baseline,1,0,0,1,0.27043618739903075,19,NA,NA
GPT-4.1 Mini,5,treatment,1,0,0,1,0.27043618739903075,19,0.06408952187182103,7
GPT-4.1 Mini,7,baseline,1,0,0,1,0.2350584307178632,25,NA,NA
GPT-4.1 Mini,7,treatment,1,0,0,1,0.2350584307178632,25,0.0629899972965666,3
GPT-4.1 Mini,8,baseline,1,0,0,1,0.09689213893967091,13,NA,NA
GPT-4.1 Mini,8,treatment,1,0,0,1,0.09689213893967091,13,0.13330000000000003,5
GPT-4.1 Mini,9,baseline,1,0,0,1,0.2431078610603291,8,NA,NA
GPT-4.1 Mini,9,treatment,1,0,0,1,0.2431078610603291,8,0.08529662637136386,8
GPT-4.1 Mini,10,baseline,1,0,0,1,0.2643982066904242,5,NA,NA
GPT-4.1 Mini,10,treatment,0,0,1,NA,0.2643982066904242,5,0.9546322392944816,5
GPT-4.1 Mini,11,baseline,1,0,0,1,0.09805579036348268,20,NA,NA
GPT-4.1 Mini,11,treatment,1,0,0,1,0.09805579036348268,20,0.07698229407236336,7
GPT-4.1 Mini,12,baseline,1,0,0,1,0.16322701688555355,12,NA,NA
GPT-4.1 Mini,12,treatment,1,0,0,1,0.16322701688555355,12,0.12903225806451604,5
GPT-4.1 Mini,13,baseline,1,0,0,1,0.1316998468606433,15,NA,NA
GPT-4.1 Mini,13,treatment,1,0,0,1,0.1316998468606433,15,0.30130807397383846,7
GPT-4.1 Mini,14,baseline,1,0,0,1,0.26711749788672867,27,NA,NA
GPT-4.1 Mini,14,treatment,1,0,0,1,0.26711749788672867,27,0.4576384256170781,3
GPT-4.1 Mini,15,baseline,1,0,0,1,0.2848689771766694,23,NA,NA
GPT-4.1 Mini,15,treatment,1,0,0,1,0.2848689771766694,23,0.05197368421052638,5
GPT-4.1 Mini,16,baseline,1,0,0,1,0.2829815303430079,10,NA,NA
GPT-4.1 Mini,16,treatment,1,0,0,1,0.2829815303430079,10,0.43136246786632393,10
GPT-4.1 Mini,17,baseline,1,0,0,1,0.23098591549295783,17,NA,NA
GPT-4.1 Mini,17,treatment,1,0,0,1,0.23098591549295783,17,0.07459954233409606,4
GPT-4.1 Mini,18,baseline,1,0,0,1,0.2374670184696571,17,NA,NA
GPT-4.1 Mini,18,treatment,1,0,0,1,0.2374670184696571,17,0.22601279317697215,3
GPT-4.1 Mini,19,baseline,1,0,0,1,0.2627291242362526,12,NA,NA
GPT-4.1 Mini,19,treatment,1,0,0,1,0.2627291242362526,12,0.12903225806451604,5
GPT-4.1 Mini,20,baseline,1,0,0,1,0.24513947590870672,18,NA,NA
GPT-4.1 Mini,20,treatment,1,0,0,1,0.24513947590870672,18,0.5410726408689748,5
GPT-4.1 Mini,21,baseline,1,0,0,1,0.19775820656525225,12,NA,NA
GPT-4.1 Mini,21,treatment,1,0,0,1,0.19775820656525225,12,0.5173796791443849,7
GPT-4.1 Mini,22,baseline,1,0,0,1,0.17698561601000626,10,NA,NA
GPT-4.1 Mini,22,treatment,1,0,0,1,0.17698561601000626,10,0.11583421891604674,3
GPT-4.1 Mini,23,baseline,1,0,0,1,0.200160128102482,19,NA,NA
GPT-4.1 Mini,23,treatment,1,0,0,1,0.200160128102482,19,0.4576384256170781,3
GPT-4.1 Mini,24,baseline,1,0,0,1,0.1649395509499137,35,NA,NA
GPT-4.1 Mini,24,treatment,1,0,0,1,0.1649395509499137,35,0.03743513713862113,15
GPT-4.1 Mini,25,baseline,1,0,0,1,0.21202531645569617,13,NA,NA
GPT-4.1 Mini,25,treatment,1,0,0,1,0.21202531645569617,13,0.31940818102698,3
GPT-4.1 Mini,26,baseline,1,0,0,1,0.23815789473684215,5,NA,NA
GPT-4.1 Mini,26,treatment,1,0,0,1,0.23815789473684215,5,0.11583421891604674,3
GPT-4.1 Mini,27,baseline,1,0,0,1,0.21838496698831877,7,NA,NA
GPT-4.1 Mini,27,treatment,1,0,0,1,0.21838496698831877,7,0.12463526469362245,5
GPT-4.1 Mini,28,baseline,1,0,0,1,0.10362429811128132,12,NA,NA
GPT-4.1 Mini,28,treatment,1,0,0,1,0.10362429811128132,12,0.3344125809435708,4
GPT-4.1 Mini,29,baseline,1,0,0,1,0.2441471571906356,17,NA,NA
GPT-4.1 Mini,29,treatment,1,0,0,1,0.2441471571906356,17,0.12903225806451604,5
GPT-4.1 Mini,30,baseline,0,1,0,0,0.2540106951871658,5,NA,NA
GPT-4.1 Mini,30,treatment,1,0,0,1,0.2540106951871658,5,0.22601279317697215,3
GPT-4.1 Mini,31,baseline,1,0,0,1,0.2597955706984667,5,NA,NA
GPT-4.1 Mini,31,treatment,1,0,0,1,0.2597955706984667,5,0.9506423258958758,5
